station_a,station_b,line
Neasden Underground Station,Dollis Hill Underground Station,jubilee
Dollis Hill Underground Station,Willesden Green Underground Station,jubilee
Willesden Green Underground Station,Kilburn Underground Station,jubilee
Kilburn Underground Station,West Hampstead Underground Station,jubilee
West Hampstead Underground Station,Finchley Road Underground Station,jubilee
Finchley Road Underground Station,Swiss Cottage Underground Station,jubilee
Swiss Cottage Underground Station,St. John's Wood Underground Station,jubilee
St. John's Wood Underground Station,Baker Street Underground Station,jubilee
Baker Street Underground Station,Bond Street Underground Station,jubilee
Bond Street Underground Station,Green Park Underground Station,jubilee
Green Park Underground Station,Westminster Underground Station,jubilee
Westminster Underground Station,Waterloo Underground Station,jubilee
Waterloo Underground Station,Southwark Underground Station,jubilee
Southwark Underground Station,London Bridge Underground Station,jubilee
London Bridge Underground Station,Bermondsey Underground Station,jubilee
Bermondsey Underground Station,Canada Water Underground Station,jubilee
Canada Water Underground Station,Canary Wharf Underground Station,jubilee
Canary Wharf Underground Station,North Greenwich Underground Station,jubilee
North Greenwich Underground Station,Canning Town Underground Station,jubilee
Canning Town Underground Station,West Ham Underground Station,jubilee
West Ham Underground Station,Stratford Underground Station,jubilee
Aldgate Underground Station,Liverpool Street Underground Station,metropolitan
Liverpool Street Underground Station,Moorgate Underground Station,metropolitan
Moorgate Underground Station,Barbican Underground Station,metropolitan
Barbican Underground Station,Farringdon Underground Station,metropolitan
Farringdon Underground Station,King's Cross St. Pancras Underground Station,metropolitan
King's Cross St. Pancras Underground Station,Euston Square Underground Station,metropolitan
Euston Square Underground Station,Great Portland Street Underground Station,metropolitan
Great Portland Street Underground Station,Baker Street Underground Station,metropolitan
Baker Street Underground Station,Finchley Road Underground Station,metropolitan
Finchley Road Underground Station,Wembley Park Underground Station,metropolitan
Wembley Park Underground Station,Preston Road Underground Station,metropolitan
Preston Road Underground Station,Northwick Park Underground Station,metropolitan
Northwick Park Underground Station,Harrow-on-the-Hill Underground Station,metropolitan
Harrow-on-the-Hill Underground Station,North Harrow Underground Station,metropolitan
North Harrow Underground Station,Pinner Underground Station,metropolitan
Pinner Underground Station,Northwood Hills Underground Station,metropolitan
Northwood Hills Underground Station,Northwood Underground Station,metropolitan
Northwood Underground Station,Moor Park Underground Station,metropolitan
Moor Park Underground Station,Rickmansworth Underground Station,metropolitan
Rickmansworth Underground Station,Chorleywood Underground Station,metropolitan
Chorleywood Underground Station,Chalfont & Latimer Underground Station,metropolitan
Chalfont & Latimer Underground Station,Chesham Underground Station,metropolitan
Chalfont & Latimer Underground Station,Amersham Underground Station,metropolitan
Amersham Underground Station,Chalfont & Latimer Underground Station,metropolitan
Chalfont & Latimer Underground Station,Chorleywood Underground Station,metropolitan
Chorleywood Underground Station,Rickmansworth Underground Station,metropolitan
Rickmansworth Underground Station,Moor Park Underground Station,metropolitan
Moor Park Underground Station,Northwood Underground Station,metropolitan
Northwood Underground Station,Northwood Hills Underground Station,metropolitan
Northwood Hills Underground Station,Pinner Underground Station,metropolitan
Pinner Underground Station,North Harrow Underground Station,metropolitan
North Harrow Underground Station,Harrow-on-the-Hill Underground Station,metropolitan
Harrow-on-the-Hill Underground Station,Northwick Park Underground Station,metropolitan
Northwick Park Underground Station,Preston Road Underground Station,metropolitan
Preston Road Underground Station,Wembley Park Underground Station,metropolitan
Wembley Park Underground Station,Finchley Road Underground Station,metropolitan
Finchley Road Underground Station,Baker Street Underground Station,metropolitan
Baker Street Underground Station,Great Portland Street Underground Station,metropolitan
Great Portland Street Underground Station,Euston Square Underground Station,metropolitan
Euston Square Underground Station,King's Cross St. Pancras Underground Station,metropolitan
King's Cross St. Pancras Underground Station,Farringdon Underground Station,metropolitan
Farringdon Underground Station,Barbican Underground Station,metropolitan
Barbican Underground Station,Moorgate Underground Station,metropolitan
Moorgate Underground Station,Liverpool Street Underground Station,metropolitan
Liverpool Street Underground Station,Aldgate Underground Station,metropolitan
Chesham Underground Station,Chalfont & Latimer Underground Station,metropolitan
Harrow-on-the-Hill Underground Station,West Harrow Underground Station,metropolitan
West Harrow Underground Station,Rayners Lane Underground Station,metropolitan
Rayners Lane Underground Station,Eastcote Underground Station,metropolitan
Eastcote Underground Station,Ruislip Manor Underground Station,metropolitan
Ruislip Manor Underground Station,Ruislip Underground Station,metropolitan
Ruislip Underground Station,Ickenham Underground Station,metropolitan
Ickenham Underground Station,Hillingdon Underground Station,metropolitan
